epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,80.52,0.29555,2.48835,0.98454,0.15057,0.74455,0.20141,0.20072,0.10533,1.71605,0.13619,0.0033271,0.0033271,0.0033271
2,157.532,0.22007,1.64369,0.92157,0.3486,0.48581,0.30034,0.30014,0.07888,2.10846,0.12089,0.00652856,0.00652856,0.00652856
3,232.223,0.24619,1.55994,0.9244,0.26116,0.58559,0.32934,0.3272,0.2303,1.80603,0.2164,0.00959802,0.00959802,0.00959802
4,305.954,0.22034,1.53209,0.92008,0.37325,0.59068,0.38016,0.3708,0.2459,2.09172,0.17552,0.009406,0.009406,0.009406
5,380.198,0.17857,1.46463,0.9085,0.38755,0.63293,0.42734,0.41555,0.21881,2.09863,0.14886,0.009208,0.009208,0.009208
6,454.353,0.1562,1.41874,0.90361,0.44651,0.67372,0.53329,0.52767,0.22626,1.31396,0.17105,0.00901,0.00901,0.00901
7,526.845,0.14047,1.38039,0.90068,0.45944,0.66549,0.5353,0.52589,0.19976,1.4052,0.20224,0.008812,0.008812,0.008812
8,599.42,0.13193,1.36111,0.89889,0.40365,0.66589,0.55371,0.55186,0.19893,1.26304,0.21041,0.008614,0.008614,0.008614
9,672.939,0.12244,1.33438,0.89747,0.45907,0.63464,0.53702,0.47391,0.19914,1.68366,0.29002,0.008416,0.008416,0.008416
10,745.528,0.11617,1.32191,0.8957,0.47762,0.68926,0.55985,0.548,0.23938,1.23671,0.17825,0.008218,0.008218,0.008218
11,818.653,0.1104,1.30984,0.89445,0.47866,0.69031,0.57224,0.55223,0.22527,1.46253,0.21497,0.00802,0.00802,0.00802
12,893.797,0.10613,1.29614,0.89567,0.54381,0.67441,0.60528,0.59838,0.21711,1.61302,0.22913,0.007822,0.007822,0.007822
13,967.16,0.1022,1.27974,0.89425,0.57364,0.65913,0.64633,0.64532,0.07611,1.10546,0.81533,0.007624,0.007624,0.007624
14,1040.13,0.09802,1.27459,0.89304,0.52731,0.71062,0.6413,0.6403,0.05125,1.12555,0.94624,0.007426,0.007426,0.007426
15,1112.46,0.09637,1.26267,0.89417,0.59416,0.66019,0.6611,0.6605,0.05736,1.00378,0.91545,0.007228,0.007228,0.007228
16,1186.47,0.09183,1.25297,0.89318,0.58314,0.69861,0.68741,0.68685,0.06633,0.9156,0.96113,0.00703,0.00703,0.00703
17,1259.21,0.09007,1.24499,0.89317,0.6504,0.66159,0.68302,0.68158,0.0532,1.06188,0.96997,0.006832,0.006832,0.006832
18,1331.64,0.08854,1.2388,0.89296,0.6163,0.69348,0.71182,0.70152,0.08522,0.93001,0.95904,0.006634,0.006634,0.006634
19,1405.19,0.08679,1.23426,0.89282,0.5885,0.71233,0.69823,0.69519,0.06679,0.92882,0.95791,0.006436,0.006436,0.006436
20,1478.26,0.08334,1.22173,0.8894,0.63768,0.67579,0.71352,0.71302,0.05298,0.87591,0.95175,0.006238,0.006238,0.006238
21,1551.46,0.08133,1.21112,0.89148,0.63249,0.69791,0.71323,0.69597,0.06287,0.91174,0.94751,0.00604,0.00604,0.00604
22,1623.95,0.07838,1.20701,0.89035,0.6352,0.66999,0.70052,0.69648,0.08422,0.91205,0.93449,0.005842,0.005842,0.005842
